title,description
The Illusionist,"Fantasy, Drama, Thriller, Romance. magic, princess, love, rivalry, vienna austria, crown prince, duchess, supernatural power, childhood sweetheart, vienna. With his eye on a lovely aristocrat, a gifted illusionist named Eisenheim uses his powers to win her away from her betrothed, a crowned prince. But Eisenheim's scheme creates tumult within the monarchy and ignites the suspicion of a dogged inspector."
Argo,"Drama, Thriller. cia, wife husband relationship, revolution, hiding place, press conference, biography, hanged man, american abroad, extraction, iran hostage crisis, intelligence agent, langley virginia, 1980s. As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador."
Despicable Me,"Animation, Family. adoptive father, orphanage, rivalry, stealing, ballet, little girl, orphan, father daughter relationship, tomboy, mother son relationship, intelligent, kids, evil doctor, duringcreditsstinger, minions, supervillain, 3d, despicable, cattivissimo. Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care."
Perfume: The Story of a Murderer,"Crime, Fantasy, Drama. paris, female nudity, prostitute, small town, obsession, orgy, bad smell, nudity, lone wolf, lavender, nose, child prodigy, fish market, daughter, supernatural, genius, death, perfume. Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume."
Eyes Wide Shut,"Mystery, Drama. life and death, sexual obsession, free love, heterosexual, christmas party, eroticism, orgy, masked ball, marijuana, illegal prostitution. After Dr. Bill Hartford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head."
Star Wars: Episode III - Revenge of the Sith,"Science Fiction, Adventure, Action. showdown, death star, vision, cult figure, hatred, dream sequence, expectant mother, space opera, chancel, childbirth, galactic war. Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice – Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring – the twin children born in secrecy who will grow up to become heroes."
X-Men: First Class,"Action, Science Fiction, Adventure. cia, mutant, mine, marvel comic, superhero, based on comic, superhuman, historical fiction, nuclear war, cuban missile crisis, world war iii, 1960s. Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known."
Dracula,"Romance, Horror. adultery, maze, vampire, bite, remake, rough sex, wake, religious conflict, bestiality, correspondence, vampire sex, autonomous shadow, vlad, fang vamp. When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Harker -- the spitting image of Dracula's long-dead wife, Elisabeta -- obsessed vampire hunter Dr. Van Helsing sets out to end the madness."
Ice Age,"Animation, Comedy, Family, Adventure. human evolution, parent child relationship, squirrel, ice, loss of child, mammoth, sloth, dying and death, stone age, prehistoric, saber-toothed tiger, cavemen, prehistoric creature, prehistoric adventure, prehistoric times, prehistoric man. With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims."
The Naked Gun: From the Files of Police Squad!,"Comedy, Crime. baseball, aquarium, queen elisabeth ii, terrorism, illegal drugs, criminal investigation, buddy cop, anarchic comedy. When the incompetent Officer Frank Drebin seeks the ruthless killer of his partner, he stumbles upon an attempt to assassinate Queen Elizabeth."
Minority Report,"Action, Thriller, Science Fiction, Mystery. self-fulfilling prophecy, washington d.c., evidence, future, hologram, dystopia, murder, neo-noir, future noir. John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge."
RoboCop,"Action, Thriller, Science Fiction. cyborg, crime fighter, human experimentation, dystopia, weapon, cyberpunk, detroit, law enforcement, gentrification, robocop. In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters."
Fast Five,"Action, Thriller, Crime. brazil, fbi, freedom, escape from prison, car crash, heist, organized crime, on the run, money, fugitive, police chase, escaped convict, car, imax, automobile racing, duringcreditsstinger. Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom."
Lilo & Stitch,"Animation, Family. sister sister relationship, extraterrestrial technology, hawaii, adoption, mutation, alien life-form, alien phenomenons, animation, dog, dead parents. A lonely Hawaiian girl named Lilo is being raised by her older sister, Nani, after their parents die -- under the watch of social worker Cobra Bubbles. When Lilo adopts a funny-looking dog and names him ""Stitch,"" she doesn't realize her new best friend is a wacky alien created by mad scientist Dr. Jumba."
The Social Network,"Drama. hacker, hacking, creator, frat party, social network, deposition, intellectual property, entrepreneur, arrogance, young entrepreneur, facebook. On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room as a small site among friends soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications."
Kick-Ass,"Action, Crime. crime fighter, secret identity, comic book, superhero, murder, comedy, mafia, teenager, violence, realism, rookie, adaptation, young adult, kickass. Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so."
Gangs of New York,"Drama, History, Crime. fire, irish-american, immigrant, gang war, pickpocket, ship, gang of thieves, butcher, pig, army, rescue, gang. It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area."
Total Recall,"Action, Adventure, Science Fiction. oxygen, falsely accused, resistance, mars, double life, telepathy, mutant, hologram, space colony, false identity, secret agent, dystopia, cyberpunk, false memory, implanted memory. Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip."
The Aristocats,"Animation, Comedy, Family, Adventure. paris, cat, butler, return, suspension, music, inheritance. When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children -- Bonfamille's prize family of domesticated house cats -- the butler plots to steal the money and kidnaps the heirs, leaving them out on a country road. All seems lost until the wily Thomas O'Malley Cat and his jazz-playing alley cats come to the Aristocats's rescue."
Airplane!,"Comedy. chicago, alcohol, cataclysm, guitar, medicine, taxi driver, passenger, saxophone, stewardess, pilot, airplane, fear of flying, air controller, landing, autopilot, kiss, spoof, los angeles, alcohol abuse, aftercreditsstinger, anarchic comedy. Alcoholic pilot, Ted Striker has developed a fear of flying due to wartime trauma, but nevertheless boards a passenger jet in an attempt to woo back his stewardess girlfriend. Food poisoning decimates the passengers and crew, leaving it up to Striker to land the plane with the help of a glue-sniffing air traffic controller and Striker's vengeful former Air Force captain, who must both talk him down."
The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy. corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery. Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands."
The Terminal,"Comedy, Drama. new york, airport, marriage proposal, translation, craftsman, stewardess, illegal immigration, language barrier, jfk international airport, immigration law, fast food restaurant, security camera, jazz musician, saxophonist, autograph, passport, eastern europe, friendship. Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant."
The Hobbit: An Unexpected Journey,"Adventure, Fantasy, Action. riddle, elves, dwarves, orcs, middle-earth (tolkien), hobbit, mountain, wizard, journey, ring, goblin, courage, giant, tunnel, underground lake, buried treasure, climbing a tree, invisibility, ancient, gnomes. Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon."
Watchmen,"Action, Mystery, Science Fiction. dc comics, secret identity, mass murder, retirement, based on comic, conspiracy, nuclear war, doomsday, soviet, masked vigilante, doomsday clock, red square, death of superhero, american president, 1980s. In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger."
Superbad,"Comedy. becoming an adult, high school, young people, one night. High school best buddies are facing separation anxiety as they prepare to go off to college. While attempting to score alcohol for a party with help from a fake ID-toting friend, the guys' evening takes a turn into chaotic territory."
Batman,"Fantasy, Action. double life, dc comics, dual identity, chemical, crime fighter, fictional place, gotham city, superhero, super powers. The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld."
The Bucket List,"Drama, Comedy. africa, himalaya, brain tumor, wife husband relationship, sense of life, male friendship, safari, dying and death, wish, journey round the world, terminal illness, billionaire, father daughter relationship, estranged father, elderly, bucket list, taj mahal. Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor."
The Impossible,"Thriller, Drama. thailand, tsunami, family vacation, tidal wave, catastrophe, swept away, separation from family, boxing day, 21st century. In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror."
Bridge to Terabithia,"Adventure, Drama, Family. brother sister relationship, friendship, bullying, neighbor, school, drawing, school bus, imagination, creek, clubhouse, reality vs fantasy, outsider, fantasy world, overflowing with imagination. Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen."
Sweeney Todd: The Demon Barber of Fleet Street,"Drama, Horror, Music. confession, corset, asylum, razor, villain, widow, beggar, blood splatter, based on play or musical, sondheim, child in peril, blood on shirt, cane, lust, violence, person on fire, incest, shaving, social injustice, oven, beadle, uxoricide, seaman, mother figure, infatuation, folk tale. The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical."
Pretty Woman,"Romance, Comedy. prostitute, capitalism, cinderella, expensive restaurant, sports car, workaholic, fire escape, friendship, los angeles, piano. When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?"
Sunshine,"Science Fiction, Thriller. saving the world, bomb, sun, space marine, sunlight, solar energy, space mission, earth, expiration. Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope."
Silver Linings Playbook,"Drama, Comedy, Romance. dancing, philadelphia, running, based on novel, depression, letter, friendship, neighbor, mental illness, ex-wife, institutionalization, bipolar, philadelphia eagles. After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife."
P.S. I Love You,"Drama, Romance. job-hopping, shoe seller, letter, dying and death, loss of husband, ireland. A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life."
300,"Action, Adventure, War. evisceration, javelin, shield, army, fall from height, ancient world, s.a.t., minions. Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy."
Juno,"Comedy, Drama, Romance. sexuality, becoming an adult, puberty, first time, oscar award, pregnancy and birth, pregnant minor, precocity, partnership, teenager, teenage pregnancy. A young girl named Juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up."
22 Jump Street,"Crime, Comedy, Action. high school, undercover cop, buddy comedy, aftercreditsstinger, duringcreditsstinger. After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them."
Monsters University,"Animation, Family. monster, dormitory, games, animation, best friend, university, scary, aftercreditsstinger. A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends."
Despicable Me 2,"Animation, Comedy, Family. secret agent, bakery, falling in love, father daughter relationship, duringcreditsstinger, first date, minions, 3d. Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal."
Mrs. Doubtfire,"Comedy, Drama, Family. san francisco, parent child relationship, restaurant, nanny, mask, custody battle, fake identity. Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start."
Ant-Man,"Science Fiction, Action, Adventure. marvel comic, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d. Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world."
The Town,"Crime, Drama, Thriller. based on novel, money laundering, ambulance, boston, massachusetts, bank manager, drug dealer, florist, flower shop, hold-up robbery, volunteer, stolen money, friends, car set on fire, boston garden, police chase, best friend, fenway park. Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case."
127 Hours,"Adventure, Drama, Thriller. mountain, despair, adventure, utah, alone, canyon, climbing, based on true story, rescue, survival, escape, true, trapped, boulder, adventurer, flashback, climber, isolated, hikers, very little dialogue. The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah."
Blue Jasmine,"Comedy, Drama. san francisco, sister sister relationship, new york city, rich, narcissism, xanax. Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone's lives, especially her own."
The Vow,"Drama, Romance. coma, amnesia, based on true story, memory loss, car accident, romantic drama. Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage."
Scream,"Crime, Horror, Mystery. halloween, gore, serial killer, slasher, tabloid, news reporter, self-referential, meta film. A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one."
Split,"Horror, Thriller. child abuse, kidnapping, gore, stalking, teenage girl, blood, violence, mental illness, super powers, multiple personality, traumatic childhood, dissociative identity disorder. Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart."
Sherlock Holmes: A Game of Shadows,"Adventure, Action, Crime, Mystery. detective inspector, steampunk, criminal mastermind. There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective."
Robin Hood,"Animation, Family. hero, fox, robin hood, forest, right and justice, outlaw, thief, animation, bear, teacher, animal as human, sherwood forest, animal. With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham's citizens with support from the corrupt sheriff - and staunch opposition by the wily Robin Hood and his band of merry men."
The Secret Life of Walter Mitty,"Adventure, Comedy, Drama, Fantasy. himalaya, photographer, magazine, iceland, daydream, photograph, shark, fired from the job, skateboard, dreamer, online dating, daydreaming. A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing."
War Horse,"Drama, War. world war i, horse, farm life, execution, trapped, alcoholic, cavalry, plowing, artillery. Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend."
Notting Hill,"Romance, Comedy, Drama. london england, bookshop, birthday, new love, film maker, paparazzi, press conference, wheelchair, bath tub, cohabitant, friendship, fame, celebration, movie star, spectacle. The British comedy from director Roger Michell tells the love story between a famous actress and a simple book seller from London. A look into the attempt for famous people to have a personal and private life and the ramifications that follow. Nominated for three Golden Globes in 2000."
"Crazy, Stupid, Love.","Comedy, Drama, Romance. soulmates, midlife crisis, marriage crisis, womanizer, law school, crazy, relationship. Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies."
One Day,"Drama, Romance. based on novel, comedian, job, love, male female relationship, author, writer, divorce, best friends in love, woman director, missed opportunity. A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together."
Hugo,"Adventure, Drama, Family. library, clock, film director, key, toy, boy, love, orphan, robot, automaton, hiding, filmmaking, leg brace, doberman, 3d. Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past."
Rise of the Planet of the Apes,"Thriller, Action, Drama, Science Fiction. intelligence, zoo, cage, dystopia, golden gate bridge, ape, monkey, medical research. Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee."
The NeverEnding Story,"Drama, Family, Fantasy, Adventure. based on novel, fictional place, wolf, mythology, magic, horse, book, fairy tale, bully, school, talking animal, reading, book store, fantasy world, giant, gnome, quest. While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing."
Peter Pan,"Animation, Music, Family, Adventure, Fantasy. flying, brother sister relationship, becoming an adult, magic, fairy, child hero, bravery, pirate gang, mermaid, animation, pirate, native peoples. Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good."
Moneyball,"Drama. underdog, based on novel, baseball, teamwork, sport, partner, meeting, oakland california, strategy, voice over, statistics. The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players."
50/50,"Comedy, Drama. painter, father son relationship, therapist, cancer, psychologist, best friend, doctor, patient, vomiting, chemotherapy, therapist patient relationship. Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease."
Lethal Weapon,"Adventure, Action, Comedy, Thriller, Crime. self-destruction, los angeles, police detective, ex soldier, buddy cop, lapd, homicide detective, christmas, death of wife, recklessness. Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring."
Love Actually,"Comedy, Romance, Drama. london england, male nudity, female nudity, love at first sight, usa president, marseille, office, christmas party, marriage proposal, bars and restaurants, press conference, language barrier, prime minister, rock star, tv show, metal detector, war on terror, school performance, multiple storylines. Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near."
John Wick,"Action, Thriller. hitman, russian mafia, revenge, murder, gangster, dog, retired, widower. Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect"
The Conjuring 2,"Horror. london england, england, 1970s, spirit, single mother, demon, paranormal investigation, demonic possession, valak, annabelle. Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits."
Pirates of the Caribbean: Dead Man's Chest,"Adventure, Fantasy, Action. witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger. Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation."
Invictus,"Drama, History. stadium, south africa, apartheid, nelson mandela, sport, nation, rugby, president, racism, poverty, celebration, duringcreditsstinger. Newly elected President Nelson Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby team as they make their historic run to the 1995 Rugby World Cup Championship match."
Mud,"Drama. river, snake, arkansas, fugitive, river boat. Two teenage boys encounter a fugitive and make a pact to help him escape from an island in the Mississippi."
Alice in Wonderland,"Animation, Adventure, Family, Fantasy. cat, dream, queen, heart, animation, nothing, tea party. On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!"
Sherlock Holmes,"Action, Adventure, Crime, Mystery. detective, scotland yard, coffin, black magic, arrest, partner, sherlock holmes, murder, steampunk, pentagram, clue. Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England."
Lord of War,"Crime, Drama, Thriller. cold war, weapon, arms dealer. Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience."
The Devil Wears Prada,"Comedy, Drama, Romance. paris, journalist, journalism, world of fasion, fashion journal, assistant, job entrant, job interview, editor-in-chief. The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won’t let her succeed if she doesn’t fit into the high class elegant look of their magazine when all she really wants to be a good journalist."
The Aviator,"Drama. ladykiller, pilot, biography, womanizer, aviation, phobia, u.s. congress, flying boat, test flight. A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder."
Maleficent,"Fantasy, Adventure, Action, Family, Romance. fairy tale, villain, sleeping beauty, dark fantasy, based on fairy tale, adaptation, retelling, literary adaptation, 3d. The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well."
Snowden,"Drama, Thriller. national security agency (nsa), biography, surveillance, whistleblower, political thriller. CIA employee Edward Snowden leaks thousands of classified documents to the press."
Collateral,"Drama, Crime, Thriller. california, taxi, assassin, hostage, taxi driver, fbi, hitman, police, los angeles, murderer, crime, criminal, gun violence. Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin."
Sully,"Drama, History. new york, hero, bird, pilot, airplane, investigation, biography, based on true story, travel, rescue, aviation, airplane accident, based on memoir or autobiography, imax, hudson river. On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career."
The Maze Runner,"Action, Mystery, Science Fiction, Thriller. based on novel, maze, post-apocalyptic, dystopia, escape, memory loss, erased memory, trapped, dystopic future, runner, based on young adult novel. Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape."
The Nice Guys,"Action, Comedy, Crime, Thriller. pornography, detective, 1970s, investigation, daughter, alcoholism, party, conspiracy, private investigator, father daughter relationship, alcoholic, private eye. A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy."
Men in Black,"Action, Adventure, Comedy, Science Fiction. secret identity, sun glasses, undercover, space marine, illegal immigration, deportation, new identity, giant cockroach, cannon, flying saucer, stay permit, alien, fictional government agency. Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black."
